uid,participant,type,feedback,trial,avg_time(ms),task_time(s),INF,C,F,IF
1,1,normal,false,1,458,16,0,31,3,3
2,1,normal,false,2,549,38,0,30,21,21
3,1,normal,false,3,610,41,0,27,21,21
4,1,normal,false,4,460,20,0,31,7,7
5,1,normal,false,5,547,18,0,19,8,8
6,1,normal,false,6,432,26,0,25,19,19
7,1,normal,false,7,540,16,1,26,3,3
8,1,normal,false,8,545,21,0,25,8,8
9,1,normal,false,9,517,24,0,24,12,12
10,1,normal,true,1,538,26,0,30,10,10
11,1,normal,true,2,494,27,2,32,12,12
12,1,normal,true,3,570,21,0,25,7,7
13,1,normal,true,4,529,9,0,19,0,0
14,1,normal,true,5,610,28,0,34,7,7
15,1,normal,true,6,521,23,0,29,9,9
16,1,normal,true,7,499,22,1,20,13,13
17,1,normal,true,8,569,24,0,30,7,7
18,1,normal,true,9,566,18,1,23,5,5
19,1,zoom,false,1,1232,50,0,36,3,3
20,1,zoom,false,2,931,25,0,26,1,1
21,1,zoom,false,3,1046,38,0,32,3,3
22,1,zoom,false,4,827,18,0,21,1,1
23,1,zoom,false,5,1023,30,0,27,2,2
24,1,zoom,false,6,1450,42,0,30,0,0
25,1,zoom,false,7,1189,44,0,36,1,1
26,1,zoom,false,8,1120,31,0,25,2,2
27,1,zoom,false,9,1022,32,0,31,1,1
28,1,zoom,true,1,959,31,0,24,5,5
29,1,zoom,true,2,917,31,0,29,3,3
30,1,zoom,true,3,923,32,0,32,2,2
31,1,zoom,true,4,882,34,0,32,4,4
32,1,zoom,true,5,948,26,0,29,0,0
33,1,zoom,true,6,941,29,0,28,2,2
34,1,zoom,true,7,828,19,0,23,1,1
35,1,zoom,true,8,839,25,0,27,2,2
36,1,zoom,true,9,819,33,0,30,6,6
37,2,normal,false,1,701,28,0,20,11,11
38,2,normal,false,2,781,50,0,39,13,13
39,2,normal,false,3,542,15,0,27,1,1
40,2,normal,false,4,662,23,0,21,8,8
41,2,normal,false,5,576,23,0,34,4,4
42,2,normal,false,6,500,20,0,26,8,8
43,2,normal,false,7,525,11,0,20,1,1
44,2,normal,false,8,499,28,0,34,12,12
45,2,normal,false,9,571,34,0,35,13,13
46,2,normal,true,1,1387,43,1,19,6,6
47,2,normal,true,2,1197,74,0,33,15,15
48,2,normal,true,3,1313,70,0,41,7,7
49,2,normal,true,4,1054,35,1,28,3,3
50,2,normal,true,5,1146,44,0,30,5,5
51,2,normal,true,6,714,29,1,27,7,7
52,2,normal,true,7,857,23,0,25,2,2
53,2,normal,true,8,1013,62,0,31,16,16
54,2,normal,true,9,1093,67,0,35,14,14
55,2,zoom,false,1,2293,64,0,29,0,0
56,2,zoom,false,2,1917,59,0,30,1,1
57,2,zoom,false,3,2102,60,0,30,0,0
58,2,zoom,false,4,1849,35,0,20,0,0
59,2,zoom,false,5,1594,46,6,23,3,3
60,2,zoom,false,6,1755,66,3,31,4,4
61,2,zoom,false,7,1410,38,0,28,0,0
62,2,zoom,false,8,1371,43,0,27,3,3
63,2,zoom,false,9,1958,11,32,7,0,0
64,2,zoom,true,1,1342,41,1,27,2,2
65,2,zoom,true,2,1383,41,0,29,1,1
